127.0.0.1 - - [17/May/2022:09:58:33 +0900] "GET / HTTP/1.1" 404 898
0:0:0:0:0:0:0:1 - - [17/May/2022:09:58:34 +0900] "GET /jsp/day1/Sample02.jsp HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [17/May/2022:09:58:34 +0900] "GET /favicon.ico HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [17/May/2022:10:00:10 +0900] "GET /jsp/day1/Sample02.jsp HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [17/May/2022:10:01:04 +0900] "GET /jsp/day1/Sample02.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [17/May/2022:10:06:47 +0900] "GET /jsp/day2/sample03.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [17/May/2022:10:11:24 +0900] "GET /jsp/day2/sample03.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [17/May/2022:10:12:02 +0900] "GET /jsp/day2/sample03.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [17/May/2022:10:37:53 +0900] "GET /jsp/day3/sample1_from.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [17/May/2022:10:37:54 +0900] "GET /jsp/day3/sample1_to.jsp?text=link1 HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/May/2022:10:37:57 +0900] "GET /jsp/day3/sample1_to.jsp?text=%E3%83%AA%E3%83%B3%E3%82%AF2 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [17/May/2022:10:38:11 +0900] "GET /jsp/day3/sample1_to.jsp?text=link1 HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/May/2022:10:51:13 +0900] "GET /jsp/day4/sample1_from.jsp HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [17/May/2022:10:51:16 +0900] "POST /jsp/day4/sample1_to.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [17/May/2022:10:51:25 +0900] "POST /jsp/day4/sample1_to.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [17/May/2022:10:51:31 +0900] "POST /jsp/day4/sample1_to.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [17/May/2022:10:55:48 +0900] "GET /jsp/day3/sample1_to.jsp?text=link1 HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/May/2022:10:56:06 +0900] "GET /jsp/day4/sample1_from.jsp HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [17/May/2022:10:56:35 +0900] "GET /jsp/day4/sample1_from.jsp HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [17/May/2022:11:17:26 +0900] "POST /jsp/day4/sample1_to.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [17/May/2022:12:13:41 +0900] "GET /jsp/day5/sample1_from.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [17/May/2022:12:13:43 +0900] "GET /jsp/day5/sample1_to.jsp HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [17/May/2022:15:10:23 +0900] "GET /jsp/day6/doGetDoPost.java HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - - [17/May/2022:15:11:45 +0900] "GET /jsp/day6/doGetDoPost HTTP/1.1" 404 918
0:0:0:0:0:0:0:1 - - [17/May/2022:15:12:15 +0900] "GET /jsp/day6/doGetDoPost.java HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2022:15:12:18 +0900] "GET /jsp/day6/doGetDoPost HTTP/1.1" 404 918
